"ano,""regiao"",""UF"",""etnia"",""%_etnia"",""%_desocupacao"",""%_subutilizacao"",""$_renda_med_formal"",""$_renda_med_informal"",""%_menor_renda_familiar"",""%_maior_renda_familiar"",""%_taxa_homicidio"""
"2012,""Sul"",""Paraná"",""Branca"",""70.093755961615"",""4.297696668163"",""11.976573713271"",""2689.194864892"",""1807.2241052873"",""54.801208768163"",""86.986614821142"",""34.16"""
"2012,""Sul"",""Paraná"",""Preta"",""28.649748377333"",""6.5693731088141"",""17.094559506272"",""1891.5263107295"",""1184.6398050917"",""43.630301084018"",""11.146214235063"",""24.27"""
"2012,""Sul"",""Rio Grande do Sul"",""Branca"",""83.394240439247"",""4.9741902594871"",""12.692448423689"",""2750.5463191257"",""1684.1448486513"",""68.756636521333"",""94.296315899573"",""19.56"""
"2012,""Sul"",""Rio Grande do Sul"",""Preta"",""16.240863169537"",""7.2641392105516"",""19.590147915397"",""1812.034808086"",""1041.5233387778"",""30.793197732069"",""5.1604556168484"",""28.5"""
"2012,""Sul"",""Santa Catarina"",""Branca"",""86.374040505334"",""3.0352914822992"",""7.9538272643882"",""2563.6525861911"",""1748.1527436315"",""73.921378411906"",""94.726731266925"",""11.29"""
"2012,""Sul"",""Santa Catarina"",""Preta"",""13.408428444784"",""5.4567467355026"",""14.60111870533"",""1784.7409740085"",""1403.7017325971"",""25.888409493952"",""4.8077674954993"",""19.88"""
"2012,""Sudeste"",""Espírito Santo"",""Branca"",""42.156933778167"",""6.13118400734"",""11.632204310212"",""2697.4242316118"",""1607.4304405437"",""30.687674815357"",""63.187505734524"",""11.91"""
"2012,""Sudeste"",""Espírito Santo"",""Preta"",""57.471395787318"",""8.2862011171534"",""16.415745149665"",""1804.8750720138"",""1174.0915678442"",""69.099715440772"",""36.573827486311"",""61.65"""
"2012,""Sudeste"",""Minas Gerais"",""Branca"",""44.295316364907"",""6.336540487923"",""16.276729674122"",""2604.5471638251"",""1480.5686822519"",""26.959949773262"",""68.17441413687"",""13.7"""
"2012,""Sudeste"",""Minas Gerais"",""Preta"",""55.368440373599"",""6.9521406876863"",""18.960177574742"",""1771.6249991049"",""998.95198958472"",""72.634135449851"",""31.365684465431"",""28.28"""
"2012,""Sudeste"",""Rio de Janeiro"",""Branca"",""45.5683470475"",""6.5240201441963"",""11.740573658183"",""3352.4640693584"",""1908.2321356943"",""28.074309324406"",""76.315642759694"",""18.3"""
